label,dispatch_label,hour,dispatch,dispatch_json,dispatch_json_source,next_dispatch_json,freq_csv,freq_png,checkpoint_in,signature_hash,kp,ki,agc_interval,wind_pref_alpha,solar_pref_alpha,agc_allocation_mode,init_mode,apply_governor_targets,apply_dg_targets,governor_target_schedule,dispatch_target_ramp_seconds,agc_gov_output_ramp_frac_pmax_per_min,agc_dg_output_ramp_frac_pmax_per_min,agc_anti_windup_mode,traditional_governor_deadband_hz,traditional_governor_deadband_csv,wind_deadband_hz,solar_deadband_hz,esd_deadband_hz,der_deadband_hz,der_base_ddn,pvd1_base_ddn,esd1_base_ddn,pvd1_tfdb,esd1_tfdb,target_storage_share,achieved_storage_share,storage_scale_factor,storage_scale_applied_factor,scale_esd1_ddn_with_storage,disable_der_frequency_deadband,disable_der_agc,disable_pvd_agc,disable_esd_agc,recompute_ace_raw_on_load,reset_ace_integral_on_load,resume_mode,start_dae_t,end_dae_t,ace_integral_start,ace_raw_start,ace_integral_end,ace_raw_end,agc_freeze_active_start,agc_freeze_on_streak_start,agc_freeze_off_streak_start,agc_freeze_dir_start,agc_freeze_active_end,agc_freeze_on_streak_end,agc_freeze_off_streak_end,agc_freeze_dir_end,der_deadband_disabled_count,traditional_governor_deadband_count,configured_pvd1_deadband_count,configured_esd1_deadband_count,configured_pvd1_ddn,configured_esd1_ddn,configured_wind_pvd1_deadband_count,configured_solar_pvd1_deadband_count,configured_esd1_resource_deadband_count,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz,max_abs_hz,final_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,zero_crossings,wind_effort,pv_effort,pvd_effort,esd_throughput,gov_droop_effort,gov_paux0_tv,dg_pext0_tv,freq_d1_abs_mean,freq_d1_abs_p95,saturation_fraction,integrator_freeze_fraction,saturation_step_count,integrator_freeze_step_count,agc_request_sum_total_abs_mean,agc_request_sum_total_abs_max,agc_applied_sum_total_abs_mean,agc_applied_sum_total_abs_max,agc_clip_deficit_sum_total_abs_mean,agc_clip_deficit_sum_total_abs_max,agc_saturation_ratio_mean,agc_saturation_ratio_max,agc_freeze_streak_max,agc_freeze_streak_end,agc_unfreeze_streak_end,elapsed_s
h0d0,h0d0,0,0,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d0_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d0_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d1_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d0_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d0_frequency.png,,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,cold,0.0,899.0,0.0,0.0,3.0326459012589675,-0.0115875688361854,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0376503025253049,209.0,0.0393586400884959,482.0,0.0125221701443756,0.010261377293108,0.0128365647406045,0.0393586400884959,0.0125221701443756,0.0033333333333333,0.0,216,1.8942011880462513,0.9095675574109848,2.803768745457236,0.0075680162695486,16.463521860195918,1.7811520561526684,0.0,0.0082295094474294,0.0201352989145264,0.0,0.0,0,0,0.0078087715539728,0.0243036090789562,0.0078087715539728,0.0243036090789562,2.6984587404083662e-20,1.734723475976807e-18,3.1111788714529133e-18,1.6712546963812852e-16,0,0,0,51.069230542001605
h0d1,h0d1,0,1,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d1_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d1_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d2_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d1_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d1_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h0d0,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,899.0,1798.0,3.0326459012589675,-0.0115875688361854,-30.315402946441008,0.0767815424667901,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0507275074742374,866.0,0.0416653259362531,161.0,-0.0366229854283606,0.0215440877150326,0.0247832023620559,0.0507275074742374,0.0366229854283606,0.1466666666666666,0.0022222222222222,81,3.305203609541667,0.8694352825941313,4.174638892135798,1.6037447545244496,45.819298731574,1.284474247945026,0.0,0.008469885806257,0.0201727810437974,0.0,0.0,0,0,0.0362627331406476,0.0760011106658185,0.0362627331406476,0.0760011106658185,3.122502256758253e-19,6.938893903907228e-18,9.953820746532858e-18,1.735309755251803e-16,0,0,0,62.65662766600144
h0d2,h0d2,0,2,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d2_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d2_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d3_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d2_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d2_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h0d1,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,1798.0,2697.0,-30.315402946441008,0.0767815424667901,-94.91836511322316,0.207141903959118,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0508357006873927,226.0,0.0369923665503302,673.0,-0.0392407567634278,0.0217258465171043,0.0249904675705858,0.0508357006873927,0.0392407567634278,0.1522222222222222,0.0011111111111111,80,3.2597886120830193,0.8447141167773493,4.104502728860369,1.532796384391902,46.43112622952082,1.2479374755784551,0.0,0.0081750017566693,0.0200197158519614,0.0,0.0,0,0,0.1585862233310138,0.2059073183392899,0.1585862233310138,0.2059073183392899,0.0,0.0,0.0,0.0,0,0,0,65.18246258299769
h0d3,h0d3,0,3,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d3_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d3_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d0_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d3_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h0d3_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h0d2,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,2697.0,3596.0,-94.91836511322316,0.207141903959118,-105.84305423484156,0.2195062004438915,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0457280173838259,195.0,0.0406969594506145,705.0,-0.0177326302961744,0.0144967365175009,0.0173932384591991,0.0457280173838259,0.0177326302961744,0.0211111111111111,0.0,164,1.9278351852848803,0.9044065683131056,2.8322417535979865,0.1386917031354043,25.982016502953243,1.7329384722266292,0.0,0.0085581572475685,0.0206795958460712,0.0,0.0,0,0,0.2219643032791361,0.2499223572979745,0.2219643032791361,0.2499223572979745,0.0,0.0,0.0,0.0,0,0,0,63.13980295800138
h1d0,h1d0,1,0,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d0_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d0_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d1_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d0_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d0_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h0d3,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,3596.0,4495.0,-105.84305423484156,0.2195062004438915,-89.59526944649639,0.1639593472623133,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0460491390820849,116.0,0.0425464145817766,819.0,0.0345378495026782,0.0171977501308226,0.0199746056320087,0.0460491390820849,0.0345378495026782,0.0388888888888888,0.0,103,2.066270334335788,0.9087392492338118,2.9750095835696,0.2487046320617197,32.48657414579719,1.317278059095496,0.0,0.0080600027260609,0.0201834410767132,0.0,0.0,0,0,0.2304368179844215,0.2719491478144707,0.2304368179844215,0.2719491478144707,0.0,0.0,0.0,0.0,0,0,0,61.684863583999686
h1d1,h1d1,1,1,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d1_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d1_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d2_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d1_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d1_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h1d0,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,4495.0,5394.0,-89.59526944649639,0.1639593472623133,19.71667418165884,-0.0548285074757243,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0309084037218743,143.0,0.0642824418042309,877.0,0.0349096578512675,0.0283151097936627,0.0317828273871557,0.0642824418042309,0.0349096578512675,0.3766666666666666,0.0366666666666666,52,9.126324576540124,1.149312347715021,10.275636924255146,7.16681246674038,68.26610559925885,1.1513973215584374,0.0,0.0083313217768036,0.0206307095365234,0.0,0.0,0,0,0.0983783520846722,0.1819149222721734,0.0983783520846722,0.1819149222721734,5.396917480816733e-20,6.938893903907228e-18,2.487342510242557e-18,1.6814198760435224e-16,0,0,0,72.41581187499833
h1d2,h1d2,1,2,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d2_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d2_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d3_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d2_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d2_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h1d1,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,5394.0,6293.0,19.71667418165884,-0.0548285074757243,49.60123403995754,-0.0947572998771298,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0416766846911431,680.0,0.0533888249727798,6.0,-0.0100797449350875,0.0242216382960962,0.027109494391357,0.0533888249727798,0.0100797449350875,0.1955555555555555,0.0088888888888888,57,4.3485702952547225,1.074390827746961,5.422961123001683,2.632305522452034,53.34227084822263,1.1906241349946831,0.0,0.0083682215395171,0.0202744649369483,0.0,0.0,0,0,0.1268713613356659,0.1751411072767771,0.1268713613356659,0.1751411072767771,3.7007434154171887e-19,2.7755575615628914e-17,2.7828198935577606e-18,1.7286784762048342e-16,0,0,0,69.08994804199756
h1d3,h1d3,1,3,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d3_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d3_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d0_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d3_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h1d3_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h1d2,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,6293.0,7192.0,49.60123403995754,-0.0947572998771298,-32.18605939051712,0.0774757157773504,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0578155911096889,887.0,0.0371221147200317,131.0,-0.0297133718737296,0.0238518950937661,0.0271731980168669,0.0578155911096889,0.0297133718737296,0.2122222222222222,0.0055555555555555,68,4.2172645215072055,0.8703279026780273,5.087592424185233,2.5922476544412674,53.42105063425764,1.2824942670714412,0.0,0.0086081703168445,0.0206338335306814,0.0,0.0,0,0,0.0598684397209757,0.1076773286833547,0.0598684397209757,0.1076773286833547,7.093091546216278e-19,1.3877787807814457e-17,8.467672372450168e-18,1.7926388154039542e-16,0,0,0,68.69404683400353
h2d0,h2d0,2,0,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h2d0_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d0_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d1_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h2d0_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h2d0_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h1d3,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,7192.0,8091.0,-32.18605939051712,0.0774757157773504,-63.42351618763587,0.1207144890579204,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0643335380108234,23.0,0.0449133915552124,736.0,0.0139059939168939,0.0240458233957135,0.0271572368368632,0.0643335380108234,0.0139059939168939,0.1877777777777777,0.0122222222222222,53,4.139461184532967,0.8901146365796306,5.029575821112598,2.8057640115207327,53.30162621989183,1.2578540275978038,0.0,0.0085457599958695,0.0209419275787172,0.0,0.0,0,0,0.1518153496720075,0.2027106994155771,0.1518153496720075,0.2027106994155771,0.0,0.0,0.0,0.0,0,0,0,70.74797345799743
h2d1,h2d1,2,1,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h2d1_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d1_dispatch.json,deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d2_dispatch.json,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h2d1_frequency.csv,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv036_esd036/h2d1_frequency.png,deadband/results/phase1_baseline_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/checkpoints/9640bf255aa8/end_h2d0,9640bf255aa8,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.036,0.036,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,8091.0,8990.0,-63.42351618763587,0.1207144890579204,12.456480243582998,-0.035541148185532,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0153411342758724,8.0,0.0534042295207104,100.0,0.0241001988625111,0.0193551270685186,0.0217704054613812,0.0534042295207104,0.0241001988625111,0.0455555555555555,0.0011111111111111,70,1.9757161398663348,0.8631024341336833,2.838818574000018,0.2674845914075897,37.7295867304225,1.302067250290732,0.0,0.008230431055687,0.01904357585533,0.0,0.0,0,0,0.0557554808835914,0.127985072015009,0.0557554808835914,0.127985072015009,1.2046690805394494e-21,2.1684043449710093e-19,1.4660707401674357e-18,1.6826583212972662e-16,0,0,0,68.26007062500139
