,Bus65,Bus104,Bus105,Bus114,Bus115,Bus125,Bus126,Bus127,Bus135,Bus136,Bus147
Bus65,0.4473307151422942,0.006929788625788803,0.012177422096095387,-0.002158522475581675,0.009751512719302649,-8.007349216158119e-05,0.0009241901513342977,0.0009452708032464388,0.0025410295780795896,0.002724466427695678,0.004828811498557885
Bus104,0.006929788625788813,0.33952739244672925,0.11672390915058704,-0.016941178786562726,0.0484343291022986,-0.0038966235503791954,-0.002433801782492667,-0.00855884292394598,0.0008328743632232821,-0.0005539911746636986,0.011187864096798231
Bus105,0.0121774220960954,0.11672390915058711,0.47340039012817736,-0.022734505989450534,0.08754023110849503,-0.004456807075321118,-0.0015366789651812336,-0.008354167365774968,0.006361853015775114,0.0054401297778246165,0.01913970117431936
Bus114,-0.0021585224755816756,-0.016941178786562726,-0.022734505989450544,0.29898468272063533,-0.029635780809763843,-0.0038519155353275297,-0.0051692934857166814,-0.011640886977920787,-0.01116884155572764,-0.014017550664678292,-0.002703348826916185
Bus115,0.009751512719302665,0.04843432910229856,0.08754023110849493,-0.02963578080976385,0.5747041973699131,-0.003221541952233414,0.0014583461689907777,-0.003082061971499751,0.016665365426780206,0.017542685172058786,0.03423738868207908
Bus125,-8.007349216158043e-05,-0.003896623550379194,-0.004456807075321123,-0.0038519155353275267,-0.00322154195223342,0.40155342282228434,0.013908733878545396,0.004988590560722126,-0.0104463649357669,-0.01821664471959219,-0.003370549587274114
Bus126,0.0009241901513343003,-0.002433801782492672,-0.0015366789651812492,-0.00516929348571668,0.00145834616899077,0.01390873387854541,0.4019283756678589,0.09279948452863002,0.03500891637843475,0.0340180178648361,-0.0006031143431919767
Bus127,0.0009452708032464451,-0.00855884292394599,-0.008354167365775,-0.011640886977920779,-0.003082061971499746,0.0049885905607221425,0.09279948452863002,1.1088585271445122,0.02485329128765228,0.012231003134428677,-0.005674653491865279
Bus135,0.002541029578079594,0.0008328743632232675,0.006361853015775083,-0.011168841555727636,0.016665365426780182,-0.010446364935766922,0.03500891637843473,0.024853291287652162,0.6639738942844225,0.31902897801849633,0.011821365705883264
Bus136,0.0027244664276956793,-0.0005539911746637132,0.00544012977782458,-0.014017550664678283,0.01754268517205874,-0.018216644719592154,0.034018017864836145,0.012231003134428674,0.31902897801849617,0.9293556829415934,0.01243211035736652
Bus147,0.004828811498557883,0.011187864096798221,0.019139701174319332,-0.002703348826916187,0.034237388682079054,-0.0033705495872741074,-0.0006031143431919678,-0.005674653491865258,0.011821365705883278,0.012432110357366534,0.47911898071323517
